python udp_client.py

Connected to the server.
Received ack(279:wpdgzkofjkfhtwfepeqq) from the server.
Received ack(281:giycyxbpddgeoibhfgjy) from the server.
Received ack(283:hoazogvfnypoqvlaqkap) from the server.
Received ack(285:apviftcgyudqlbcolwop) from the server.
Received ack(287:julutaewsanneuqtzvab) from the server.
Received ack(289:nyrejilxdvcceieinxsl) from the server.
Received ack(291:cynwmqkyjydesydbwjsf) from the server.
Received ack(293:doqopsgjjwmjzbimchgn) from the server.
Received ack(295:ikugbfrdkdbqkixxquks) from the server.
Received ack(297:dkcylspdsvlvtoctonhn) from the server.
Received ack(299:upazprbnicgtwhuefrnn) from the server.
Received ack(301:kmjqlmutkelznugeoyes) from the server.
Received ack(303:nsdrvdjihooghgezibwt) from the server.
Received ack(305:milmpzgbpyponysghgxb) from the server.
Received ack(307:lebzyowdzhgvqeyricmq) from the server.
Received ack(309:uikxzcuoyrktmidvikca) from the server.
Received ack(311:xnhpnhsiggnofeezcpwt) from the server.
Received ack(313:rdakexsdytztayudbsok) from the server.
Received ack(315:kedpmmetxahqaqkquqmj) from the server.
Received ack(317:bpyzubhppndmszxatnri) from the server.
Received ack(319:dpvfjvcijpnqslcrmyra) from the server.
Received ack(321:yotwjacuhmajrivbnjzv) from the server.
Received ack(323:mxzitiriivxkmdymfnhy) from the server.
Received ack(325:orutjukivpjtgarwlzpn) from the server.
Received ack(327:fcfpncdipremoqmezkxe) from the server.
Received ack(329:ibmmvnyvlficgcmkidmb) from the server.
Received ack(331:uqrgadomuboxfbntpgna) from the server.
Received ack(333:egwzpuammmdwgzdnympr) from the server.
Received ack(335:fsuxndxotfoeopxcwbpv) from the server.
Received ack(337:mhdhlvxsoxfqpnzndori) from the server.
Received ack(339:npztnorblualthvdpefx) from the server.
Received ack(341:aesrpnfflagzistcmael) from the server.
Received ack(343:zpfuurhrhucgaagcvawe) from the server.
Received ack(345:iscfyihzwpufxsncqorv) from the server.
Received ack(347:khfelrkhkylzvyjaqxcq) from the server.
Received ack(349:doxgpatumvmfhywxfqqr) from the server.
Received ack(351:ncgfdfpqbxmwprbkkpmo) from the server.
Received ack(353:rwmhsiwytkegdagixbml) from the server.
Received ack(355:avrqbkqrjywbqnzwtmfh) from the server.
Received ack(357:ffttidvsymaclssxaagu) from the server.
Received ack(359:shbhgufbmgymqbcxbozq) from the server.
Received ack(361:icxeghfcxnknzldelonz) from the server.
Received ack(363:adpitftshqkagjbygzsc) from the server.
Received ack(365:ndolghvykgyphptywnil) from the server.
Received ack(367:gdrvrtvomcjujulcfuuo) from the server.
Received ack(369:mknwtfzgskwuxsrjkjhn) from the server.
Received ack(371:mwgmbihrfzigoecvmmrf) from the server.
Received ack(373:nhwvdpiqmnftedcsuzcd) from the server.
Received ack(375:pspykkefqwvosvcfsvnc) from the server.
Received ack(377:xwnwoxkaoekoleykcwsj) from the server.
Received ack(379:qzbnxfrgqofmeqazklxf) from the server.
Received ack(381:dngusshdxfpjiksmedbe) from the server.
Received ack(383:opceneocdjkuiwlyhnmf) from the server.
Received ack(385:nbiihdaupgrobiqrykaq) from the server.
Received ack(387:uwgxmgjxwlmplhctorqy) from the server.
Received ack(389:yepzprdsxkwedtmhpssd) from the server.
Received ack(391:yqlmcsvwphuikwglsmnb) from the server.
Received ack(393:ylcezsdrkfjuqbyshfkt) from the server.
Received ack(395:hxvmkdlkppahmjwbbucy) from the server.
Received ack(397:aoimonykiawqddsomdga) from the server.
Received ack(399:icnkcrkfsrathvwublvg) from the server.
Received ack(401:ffdwxobbuujnfdjyqrgd) from the server.
Received ack(403:qrpzuvwkyhvfzcexvttw) from the server.
Received ack(405:aduxjhwqfgdlugzulryt) from the server.
Received ack(407:rageqghfolscjssaleck) from the server.
Received ack(409:xxkgwryjvxhhyitvaojz) from the server.
Received ack(411:fvuhkdwoswvdesigtjmr) from the server.
Received ack(413:nvjttjodcwolbmelacjo) from the server.
Received ack(415:hwqhfmcanhhilcnwhtou) from the server.
Received ack(417:greybceouryolresuhgs) from the server.
Received ack(419:gxnbtohbjenkguufrjvp) from the server.
Received ack(421:tmnkwdnslmfzhlwhhmqp) from the server.
Received ack(423:xglxkoelqkmqaacvuhfa) from the server.
Received ack(425:hcystaxozzyzslqhrexi) from the server.
Received ack(427:cepnqaykpdznevwkyjkt) from the server.
Received ack(429:nagnzywsvxtxuvygxcvj) from the server.
Received ack(431:qqsraungwuhoxjuffzkn) from the server.
Received ack(433:wzvnrzrvtihyzukvswjy) from the server.
Received ack(435:dizyimxweydqkexxxzhn) from the server.
Received ack(437:yqklwkggsxnoypbnphle) from the server.
Received ack(439:fhjnqxrzdwnzmagixyhq) from the server.
Received ack(441:qgoqdloqnaxgkzrelsqd) from the server.
Received ack(443:olwrwbqwwyjqtnhzbpcb) from the server.
Received ack(445:hwqxiszggioqjzyjwqss) from the server.
Received ack(447:uyylbclkfsxubcgkbfzb) from the server.
Received ack(449:veaswqsmyyhncgqzyhsf) from the server.
Received ack(451:rydmhoscrmincintxovy) from the server.
Received ack(453:azjlfjcssuzikgcqfvxi) from the server.
Received ack(455:scshjuwtnrsiclulkxye) from the server.
Received ack(457:nayubqxznzavklarxjen) from the server.
Received ack(459:nvbwakaosxuokikpbssl) from the server.
Received ack(461:dcbizhzmppgfhsedjduh) from the server.
Received ack(463:skfamxbtcrvyytmqnwec) from the server.
Received ack(465:iqnhvncklnffmthkdice) from the server.
Received ack(467:byoauzgfyvajnbltmxjb) from the server.
Received ack(469:dokwqyyfawsuridjotmj) from the server.
Received ack(471:okssrhgkdlfhloptcaef) from the server.
Received ack(473:cqtpportyglamouqdylf) from the server.
Received ack(475:qxnpjuovambbxdalytxg) from the server.
Received ack(477:rengiwbymzbvgzmdjbhi) from the server.
Received ack(479:xppotgxxdnmoeilsdpyf) from the server.
Received ack(481:ayqzmanrbqnyujyxcxoi) from the server.
Received ack(483:hcchjaxebvgywhxsdskj) from the server.
Received ack(485:lwullgzjsmspjftzrrjw) from the server.
Received ack(487:hsrmfgqsfgqsvldzyuoz) from the server.
Received ack(489:xhckfbkyzkykbjdmpqji) from the server.
Received ack(491:ylwliztvlsllpqfriowu) from the server.
Received ack(493:qvalkwnrmkwjwttwzayv) from the server.
Received ack(495:byriijzfbpfzhyqdzpbi) from the server.
Received ack(497:umbdwgtmyhfdbambzkbb) from the server.
Received ack(499:zxjsggcxpnnshzmajnku) from the server.
Received ack(501:aplhrfsewynhwmpaegid) from the server.
Received ack(503:bspcmpobnkeycrytlcyk) from the server.
Received ack(505:hmovlbddjtwutfsnzteu) from the server.
Received ack(507:tlbbfakdxmizfphbxsam) from the server.
Received ack(509:dvmqsjviwqewuyfhizun) from the server.
Received ack(511:mmqxhtbezcjibploumtm) from the server.
Received ack(513:daiscnamccnwjwdkxwuu) from the server.
Received ack(515:cjfimedpddbkkcbncpvp) from the server.
Received ack(517:qrflqazhgslxptzgpcnw) from the server.
Received ack(519:sdzkhyjwvyizfaikprjk) from the server.
Received ack(521:ybdclssdjpoplsieuxdc) from the server.
Received ack(523:jiyyhptebedebjzxqtmo) from the server.
Received ack(525:edpghrfquftybdnufypi) from the server.
Received ack(527:ewfirwsimcagriwstmmw) from the server.
Received ack(529:siriiopxcweabzmhmmef) from the server.
Received ack(531:mwennqlmwsnccdphmtab) from the server.
Received ack(533:olzmivqwscsgsflmwfom) from the server.
Received ack(535:bcccmpeauajwlmykxagr) from the server.
Received ack(537:fzurmpppisybmamqgkyz) from the server.
Received ack(539:ldlcqjnlprsivvrnhjwp) from the server.
Received ack(541:asfttbyxzqjhwkqshsxi) from the server.
Received ack(543:fpjalgygfamxsacctlax) from the server.
Received ack(545:jetotbiviuxncvhvelvd) from the server.
Received ack(547:kckealfdwazsyeqlabnh) from the server.
Received ack(549:nqybupaukdrsidsyhbba) from the server.
Received ack(551:ewmhcjghhpwmryxwruaf) from the server.
Received ack(553:tlieivgfflrocnplvbbg) from the server.
Received ack(555:ckxqxqdlfikkgikhcjyq) from the server.
Received ack(557:twdyokqlodazjjcqgfif) from the server.
Received ack(559:mpzqqqcfivijaixsbipm) from the server.
Received ack(561:qutzgnpnuychqciidtwl) from the server.
Received ack(563:fzvhfyizfprwlzvlcxer) from the server.
Received ack(565:eboqjrjwiwhhmosjtvss) from the server.
Received ack(567:tejjfljeyorykhqhldbd) from the server.
Received ack(569:czrrfgqzlglqdrdngrxj) from the server.
Received ack(571:kvxcurpoocpdbvaebonq) from the server.
Received ack(573:xauyuchhhbpcrijcycgr) from the server.
Received ack(575:kwacbwjlmpgikzmmaijd) from the server.
Received ack(577:xxnsrkgeqlwiuwlftxcw) from the server.
Received ack(579:lfsdwsaladijwtlsudci) from the server.
Received ack(581:ltqmhwpkhklhwhruugvw) from the server.
Received ack(583:gqlpwezptoijffknbfaj) from the server.
Received ack(585:ztvsmvlickpcjpurkfgj) from the server.
Received ack(587:ugnokovtdeheoftqdbqu) from the server.
Received ack(589:vxvongfzworvnirvxwvg) from the server.
Received ack(591:auhxjjfivrtksgshycjo) from the server.
Received ack(593:acejuuewprfnziktopqs) from the server.
Received ack(595:olyqmcdnuuiatifgfnhq) from the server.
Received ack(597:ocupjjqqyqurnxcppgsn) from the server.
Received ack(599:dzbfktcixnvapmxshnny) from the server.
Received ack(601:jjtzeavkdxakiplajkzh) from the server.
Received ack(603:ckofvdhjwfphwejhdejf) from the server.
Received ack(605:jmrlmlgunwyfeivrgyhg) from the server.
Received ack(607:mravtwiljigniidizyde) from the server.
Received ack(609:zczesjadkffqeutibtpp) from the server.
Received ack(611:jegevobitrvrjcworcok) from the server.
Received ack(613:crxyqopviduwpdibrudo) from the server.
Received ack(615:gunwrvjvmwagkaaluoey) from the server.
Received ack(617:elvnajnnagkfubygxqpv) from the server.
Received ack(619:khidvtjfnpyvqrzephrm) from the server.
Received ack(621:ljmxznimulhoblbwmaha) from the server.
Received ack(623:fmezxchtjouaansfslmk) from the server.
Received ack(625:yxsxybgewveyjldpadcd) from the server.
Received ack(627:nairzwqyfajmbyeplhzx) from the server.
Received ack(629:vqfwjumekchyliqpvovj) from the server.
Received ack(631:wqfjqqydwqvqcxvinasi) from the server.
Received ack(633:bmxqzpqpmekrpkztpktl) from the server.
Received ack(635:pdmhnutlhzqyvbpwflhh) from the server.
Received ack(637:ibqrlcltioffsepkixte) from the server.
Received ack(639:pbbpxrmvgtifuubhywdm) from the server.
Received ack(641:xfqckkyhtfcazzbmwhws) from the server.
Received ack(643:owjtnhtdokhzoartvwfb) from the server.
Received ack(645:gdovgxaotitzrcchgqrs) from the server.
Received ack(647:ychttqxrmyaejcignvzr) from the server.
Received ack(649:jhcnyatshfucpkqagwel) from the server.
Received ack(651:ingpllgaepgjiikeedxf) from the server.
Received ack(653:pkongwdkhgjbcagwyusc) from the server.
Received ack(655:jkkmkqyvontsbfaojzpp) from the server.
Received ack(657:nvfvcouudhbgzmcronrw) from the server.
Received ack(659:hnrvluhxxhwkrsgmevji) from the server.
Received ack(661:yjnlcfkcweffvsojecrl) from the server.
Received ack(663:qybvnjddhouxzxgcjpuh) from the server.
Received ack(665:khdqceibobddkqbuslax) from the server.
Received ack(667:tuadyjwfjqbjeukuezek) from the server.
Received ack(669:dsmxkgwctyovxljhaoif) from the server.
Received ack(671:iiepsfxbqlavqridkzbe) from the server.
Received ack(673:ofvzydbsxyrijwmvuxyq) from the server.
Received ack(675:kvmzxrkuvqtlsfmrtrdw) from the server.
Received ack(677:muiwifyousryzdqbuyjp) from the server.
Received ack(679:cjukdrgcbmhynlegkzut) from the server.
Received ack(681:ckoumqsdrnykdpbwwwyy) from the server.
Received ack(683:aaqgxsiemuulltqfbxqy) from the server.
Received ack(685:wownqwdnrxfnadmyujgs) from the server.
Received ack(687:bkknhsfkiulylvbyzloh) from the server.
Received ack(689:pqmigzaiievyeremqrxm) from the server.
Received ack(691:vykgitqdnswufwwrrkvt) from the server.
Received ack(693:xauwhsdgbrdqkscqvduc) from the server.
Received ack(695:xbfbztgjwppmjgcrrcnj) from the server.
Received ack(697:pelcctlftqriuvcgvkpl) from the server.
Received ack(699:tvsibcifhtltqsmesfwd) from the server.
Received ack(701:rvvywyabqhktblmofhup) from the server.
Received ack(703:vxzkhgtgpgwgoskidayy) from the server.
Received ack(705:qmesqgjwcigwyjbhswvc) from the server.
Received ack(707:xallwqzbzkzulialrduz) from the server.
Received ack(709:yijhpzvewotfnqcjhdhw) from the server.
Received ack(711:bsfzgevneqeckcjvepva) from the server.
Received ack(713:tkkwioirdzgwkuqhbtww) from the server.
Received ack(715:klwvlnniczpuytolapqw) from the server.
Received ack(717:zpwtzztzazyzpkulichi) from the server.
Received ack(719:gxvkxnagjzkclebvkjui) from the server.
Received ack(721:zxyytlzmhtgsytlqzuzp) from the server.
Received ack(723:kpkahljxqvzzkifbjtzs) from the server.
Received ack(725:ytxsxrjgwcqcmwqfnqxt) from the server.
Received ack(727:tolvkahebqbfhuqyamqr) from the server.
Received ack(729:chkqupurlfmxhfytqsbx) from the server.
Received ack(731:gsibyigaddncckjfawiv) from the server.
Received ack(733:onedbrdghotliijuanlo) from the server.
Received ack(735:mzvqznqdgwudokpcbqlh) from the server.
Received ack(737:zztdkynjubzurwczzsia) from the server.
Received ack(739:omnvktufkptzjglfagmo) from the server.
Received ack(741:ssqqyngmdficxlqtqsbx) from the server.
Received ack(743:ybsdvrmpuaqrpbgcfttd) from the server.
Received ack(745:hfmbgwhwbvgdkdkundnj) from the server.
Received ack(747:gftigoqtuwotqcdyiqfq) from the server.
Received ack(749:fgdslmcbmysjxjxipjse) from the server.
Received ack(751:vgowfznnhaiunzbjujtg) from the server.
Received ack(753:ryexyqzrligjsdmduddj) from the server.
Received ack(755:ibbpiskcwvvvnvsbatgr) from the server.
Received ack(757:mtwrergmnonwoaayjwjz) from the server.
Received ack(759:jmxmdcnftzobxlriusap) from the server.
Received ack(761:dzyfdjnvvruytwxbmtuh) from the server.
Received ack(763:jroiluickakgcsydmmsj) from the server.
Received ack(765:fmpzzccphrmbfbfptnpg) from the server.
Received ack(767:sbrbxnroageekvfklsds) from the server.
Received ack(769:nvyjonhzzknairqsptsi) from the server.
Received ack(771:uwzgljzxhintttldihnw) from the server.
Received ack(773:wicskrpeibzejoudtnls) from the server.
Received ack(775:ngxbipujtlgwxyvglbzv) from the server.
Received ack(777:uljgqvaekyadvbyqrtss) from the server.
Received ack(779:dptwfwetnkjdgmbdmatj) from the server.
Received ack(781:wsakyfbckaasbabitqgs) from the server.
Received ack(783:phtxscelweplcrcrdknv) from the server.
Received ack(785:bxiiywmtwkbtizzyyofn) from the server.
Received ack(787:wcsshcqkzyfcqviqrfrz) from the server.
Received ack(789:czczjzbnqurzuhxygely) from the server.
Received ack(791:qitygornxnorufjzwaev) from the server.
Received ack(793:astttjnpsxrfxznlnbnf) from the server.
Received ack(795:cvjdkmzxztjdwxewuzfr) from the server.
Received ack(797:slyndkcvfusnrekdblzu) from the server.
Received ack(799:foqnqteimjfdfybelubr) from the server.
Received ack(801:fwqqjhkmucgadbowuadd) from the server.
Received ack(803:vhnsntgvqkpizrbuabii) from the server.
Received ack(805:vftttojrqoziuogzppfa) from the server.
Received ack(807:slomelomtwnvzsaiwnpk) from the server.
Received ack(809:kzuqztvdtyeykddlncwk) from the server.
Received ack(811:seoojqensybzjbwxaeyq) from the server.
Received ack(813:rxtiijhczusjwfmaljwm) from the server.
Received ack(815:tmnotiahaarbjmedfruz) from the server.
Received ack(817:avkjsekuthjmdcobkkpd) from the server.
Received ack(819:vzpapqsqlzogevbrnmqz) from the server.
Received ack(821:rtdsqqvfbijfmrkgpeej) from the server.
Received ack(823:ktwntszohyeeyctttdti) from the server.
Received ack(825:flnifvrwrudothogufcr) from the server.
Received ack(827:gzupelwudjjfjhasxiau) from the server.
Received ack(829:xybskurcqjychqyiorgo) from the server.
Received ack(831:duuvncysoqhmwcwtkymi) from the server.
Received ack(833:ikxytewgoegkrflymqpg) from the server.
Received ack(835:bcjsqxqperuvkoipmlil) from the server.
Received ack(837:ngnxobxjcxlqziyahjxs) from the server.
Received ack(839:jokvsebfdcpfohxjavqe) from the server.
Received ack(841:xdzajqxuhhgjeykomayh) from the server.
Received ack(843:mrnylapucgwymaiesdbc) from the server.
Received ack(845:kygddaemasvrelzoqpgt) from the server.
Received ack(847:hgxaqwdzzspslwhrhptk) from the server.
Received ack(849:dfijrjetakiwhtrszclx) from the server.
Received ack(851:wplfykjuptzulmfejhdz) from the server.
Received ack(853:bctptbcuywolspdpvdgm) from the server.
Received ack(855:ednvszerlwpvtfnxswnu) from the server.
Received ack(857:hvcrcrkspllzswkffmzg) from the server.
Received ack(859:dopqofroyezsvadxxpfn) from the server.
Received ack(861:ksotefatdpsviccrdphh) from the server.
Received ack(863:nxqamkvmtehvpsciblng) from the server.
Received ack(865:urskpgknvqmpiikizonn) from the server.
Received ack(867:gosthnqtvwhgpeytpgac) from the server.
Received ack(869:rhiyvxglzpusznoqzeul) from the server.
Received ack(871:dbfhswijijmoggzzbsga) from the server.
Received ack(873:bqvoongjvdnpadmfihss) from the server.
Received ack(875:dqxhcdftaozxvbqtgkyq) from the server.
Received ack(877:jljjaarxwbnbvgkmtjqm) from the server.
Received ack(879:yktjbgcyqqylmewbhbym) from the server.
Received ack(881:ykixrewyuancooyvkkvo) from the server.
Received ack(883:hhfuhpqyxylpfvwchxtn) from the server.
Received ack(885:vusyribmcrdusmpbpadm) from the server.
Received ack(887:finljnxmyjltvbdkqfel) from the server.
Received ack(889:mbqfvrhwrqwmyuanfpoj) from the server.
Received ack(891:xkiowoqmwgzwyanemjyz) from the server.
Received ack(893:lqqbomwsvhqpqohhfztz) from the server.
Received ack(895:tieqpascqxpqjcfocotx) from the server.
Received ack(897:qccfvklvxkmcrffoywwc) from the server.
Received ack(899:djbimrbaliubqjbvneon) from the server.
Received ack(901:hzbdbnnmkocpngpzxwdw) from the server.
Received ack(903:qkclurarnozggzowbzgp) from the server.
Received ack(905:ffhbzmviliecxlvuvdro) from the server.
Received ack(907:jeqjvkpdnbsdchiyxbes) from the server.
Received ack(909:ahvhcyjtryksyvkdnrih) from the server.
Received ack(911:pckdhnzkskvyvtziupok) from the server.
Received ack(913:ymarhjtlkgltcwajwdgs) from the server.
Received ack(915:zgnmntjqdshokcpnjhtc) from the server.
Received ack(917:wztpdvaumooateafyunt) from the server.
Received ack(919:sbgeqtzamsgirvxyuxxy) from the server.
Received ack(921:frcovlxbghzelixxyrns) from the server.
Received ack(923:altjlhexqrlyjnkosztz) from the server.
Received ack(925:ooogjowhzapyeghwxfau) from the server.
Received ack(927:rimjrrdvgluhdvaijqgo) from the server.
Received ack(929:gsfjtosjtubyxglpeyks) from the server.
Received ack(931:wefcvgdxnoegcuxfsjyv) from the server.
Received ack(933:pyevqxbrfnvyymfwazlv) from the server.
Received ack(935:ihnrijnxgrfqpjdzasqv) from the server.
Received ack(937:thvpyqwknxuycdmrcbwh) from the server.
Received ack(939:cleafwwqvnoqmtytyxor) from the server.
Received ack(941:mokqlkmhfkrwhdmyaswl) from the server.
Received ack(943:cvkwfbvjojumospwyehm) from the server.
Received ack(945:gdbdpsagruwbnaqcxgyv) from the server.
Received ack(947:zmdkqqaxnqqjzblltnvy) from the server.
Received ack(949:ujxbggzwdktlqhurzukb) from the server.
Received ack(951:vkwjnvevfbvpmegbbqom) from the server.
Received ack(953:lhazeibegbxajuelzaeu) from the server.
Received ack(955:ptwebgfdysldxjkcoaxs) from the server.
Received ack(957:tqnysdijlnxkbilxvfus) from the server.
Received ack(959:tmlpukivldugbpucbysi) from the server.
Received ack(961:ahrwamjxpdyrcwjtnpve) from the server.
Received ack(963:xnevjlimglhiiyyiiazi) from the server.
Received ack(965:rnwamnorgeprbcjpuepf) from the server.
